current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,NA,Kummer feat. Fred Rabe,Der letzte Song,Eklat Tonträger,1,1,0
2,2,Ed Sheeran,Shivers,Atlantic,10,1,2
3,3,Elton John & Dua Lipa,Cold Heart,EMI,13,3,3
4,4,Glass Animals,Heat Waves,Polydor,29,2,4
5,20,Acraze feat. Cherish,Do It To It,"Thrive Music, LLC",3,5,20
6,5,Lost Frequencies / Calum Scott,Where Are You Now,RCA,14,5,5
7,NA,Hava x Dardan,High,RCA,1,7,0
8,9,The Kid Laroi / Justin Bieber,Stay,Columbia,19,1,9
9,7,Adele,Easy On Me,Columbia,5,1,7
10,8,Ed Sheeran,Bad Habits,Atlantic,21,1,8
11,12,Farruko,Pepas,Epic,11,11,12
12,6,Pashanim,Paris Freestyle,Urban,4,3,6
13,NA,Shirin David,Schlechtes Vorbild,Juicy Money Records,1,13,0
14,14,Shouse,Love Tonight,Hell Beach,22,4,14
15,NA,Mario Novembre,Lautlos,Green Elephant Records,1,15,0
16,11,Dardan & Nimo,B.I.B.O.,Hypnotize Entertainment,6,11,11
17,15,CKay feat. ElGrande Toto,Love Nwantiti (North African Remix),Warner Music International,10,6,15
18,17,Montez,Auf & ab,Universal Domestic Vertigo,16,1,17
19,22,Jason Derulo,Acapulco,Atlantic,8,19,22
20,26,Pascal Letoublon feat. Leony,Friendships (Lost My Love),Virgin Records,12,20,26
21,NA,Juice WRLD,Already Dead,Interscope,1,21,0
22,25,Lil Nas X & Jack Harlow,Industry Baby,Columbia,17,9,25
23,16,"Shirin David, Kitty Kat",Be A Hoe/Break A Hoe,Universal Domestic Vertigo,3,1,16
24,86,RAF Camora x Juju,Wenn du mich siehst,Indipendenza,13,2,86
25,10,KC Rebell & RAF Camora,Gelebt,Rebell Army,2,10,10
26,23,Helene Fischer,Null auf 100,Universal Domestic Polydor,5,23,23
27,29,Tinlicker & Helsloot,Because You Move Me,Kontor Records,22,14,29
28,19,Lea x Luna,Küsse wie Gift,Four Music / Treppenhaus,2,19,19
29,50,BoyWithUke,Toxic,BoyWithUke,3,29,50
30,18,Kalim feat. Luciano,Bleib' über Nacht,Urban,3,8,18
31,32,Milky Chance,Colorado,Muggelig Records GmbH,17,28,32
32,36,Coldplay x BTS,My Universe,Parlophone Label Group,8,13,36
33,33,RAF Camora feat. Bonez MC,Blaues Licht,Indipendenza,17,1,33
34,42,Purple Disco Machine feat. Eyelar,Dopamine,Columbia,6,34,42
35,27,Gzuz,Späti,187 Strassenbande,5,4,27
36,NA,Taylor Swift,All Too Well,Taylor Swift Productions,1,36,0
37,30,Lisa [KR],Money,YG Entertainment,7,14,30
38,31,Pajel,10von10,Epic / DOPE,14,5,31
39,72,Imagine Dragons x JID,Enemy,KIDinaKORNER,3,39,72
40,NA,Badmómzjay,"""Hahaha""",Universal Domestic Vertigo,1,40,0
41,41,Joel Corry & Jax Jones feat. Charli XCX & Saweetie,Out Out,Atlantic,14,20,41
42,39,Olivia Rodrigo,Good 4 U,Olivia Rodrigo,27,1,39
43,1,Katja Krasavice x Leony,Raindrops,Katja Krasavice,2,1,1
44,43,Lil Nas X,Thats What I Want,Columbia,9,18,43
45,47,Nathan Evans,Wellerman,Polydor,43,1,47
46,40,ART [DE],Belgisches Viertel,23HOURS,12,13,40
47,44,Swedish House Mafia & The Weeknd,Moth To A Flame,Republic Records,4,14,44
48,34,Cro,Dein Song,Urban,3,15,34
49,45,Post Malone & The Weeknd,One Right Now,Republic Records,2,45,45
50,46,Pashanim,Sommergewitter,Urban,21,1,46
51,51,Dua Lipa,Love Again,Urban,10,44,51
52,13,Apache 207,Kapitel III Thunfisch & Weinbrand (2sad2disco),Four Music / TwoSides,2,13,13
53,48,RAF Camora feat. Luciano,2CB,Indipendenza,10,1,48
54,56,The Weeknd,Save Your Tears,Republic Records,44,5,56
55,53,Måneskin,Beggin',RCA,24,1,53
56,38,Ed Sheeran,Overpass Graffiti,Warner Music International,3,17,38
57,NA,Gayle,abcdefu,Atlantic,1,57,0
58,NA,Mariah Carey,All I Want For Christmas Is You,Sony Music,77,1,0
59,59,Laurell,Habit,FFMM GmbH,16,31,59
60,62,The Weeknd,Blinding Lights,Republic Records,103,1,62
61,49,Lea,Wenn Du mich lässt,Four Music / Treppenhaus,13,22,49
62,NA,Veysel & Ufo361,Go,Bela Boyz,1,62,0
63,63,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),Columbia,40,3,63
64,NA,Amaarae & Moliy feat. Kali Uchis,Sad Girlz Luv Money Remix,Golden Child Recordings,1,64,0
65,NA,Wham!,Last Christmas,Sony Music,148,2,0
66,52,RAF Camora,Guapa,Indipendenza,6,8,52
67,57,Vanessa Mai / Sido,Happy End,Ariola,5,12,57
68,54,Kid Kapri & Florida Juicy,Mosaik,Recordjet,6,19,54
69,58,Doja Cat,Woman,RCA,15,18,58
70,64,Tiësto & Ava Max,The Motto,Atlantic,2,64,64
71,NA,Robin Schulz & Dennis Lloyd,Young Right Now,Warner Music Germany,1,71,0
72,68,Billie Eilish,Happier Than Ever,Interscope,16,23,68
73,81,Tom Odell,Another Love,Columbia,98,11,81
74,74,Apache 207,Roller,Four Music / TwoSides,116,1,74
75,35,Travis Scott,Escape Plan,Epic,2,35,35
76,21,Samra,Canada Goose,Cataleya Edition,2,21,21
77,78,Måneskin,I Wanna Be Your Slave,RCA,26,3,78
78,61,Samra x Topic42 feat. Arash,Ich bin weg (Boro boro),Cataleya Edition,8,9,61
79,85,atb x Topic x A7S,Your Love (9PM),Virgin Records,44,6,85
80,80,Justin Wellington and Small Jam,Iko Iko,Columbia / B1,29,7,80
81,76,Kungs,Never Going Home,Universal,11,47,76
82,69,The Weeknd,Take My Breath,Republic Records,15,18,69
83,70,Jaymes Young,Infinity,Atlantic,7,45,70
84,87,Tiësto,The Business,Atlantic,55,3,87
85,82,Lil Nas X,Montero (Call Me By Your Name),Columbia,34,2,82
86,66,Apache 207,Kapitel II Vodka (2sad2disco),Four Music / TwoSides,7,1,66
87,91,Becky Hill & Topic,My Heart Goes (La Di Da),Polydor,3,87,91
88,NA,Michael Patrick Kelly,Blurry Eyes,Columbia,1,88,0
89,NA,Bojan,Wolken,Cataleya Edition,1,89,0
90,65,"Dardan, Nimo & Mozzik",Per ty,Hypnotize Entertainment,5,14,65
91,83,Helene Fischer feat. Luis Fonsi,Vamos a marte,Universal Domestic Polydor,15,2,83
92,73,Zoe Wees,Girls Like Us,Capitol,37,9,73
93,NA,Shirin David,Lieben wir,Juicy Money Records,17,1,0
94,92,OneRepublic,Run,Interscope,28,19,92
95,28,ABBA,Don't Shut Me Down,Universal,6,5,28
96,79,J Balvin & Skrillex,In Da Getto,Sueños Globales,11,56,79
97,NA,Musso,Stimmen,Super1Records,1,97,0
98,99,Ofenbach feat. Lagique,Wasted Love,Elektra,38,12,99
99,84,Montez x Badmómzjay,Mond,Universal Domestic Vertigo,7,10,84
100,75,Hava,Moje sve,RCA,7,12,75
